DBA,ID,NUM,HOURS,ADDRESS,CITY,STATE,ZIP,FULL ADDRESS,Latitude,Longitude
CAYMC- Coleman A Young Municipal Center (#4),K2010,2010,"M-Th, 8am - 4:30pm",2 Woodward Ave - 1st Floor,Detroit,MI,48226,"2 Woodward Ave - 1st Floor, Detroit, MI, 48226",42.32959557,-83.04436213
CAYMC -Coleman A Young Municipal Center (#5),K2006,2006,"M-Th, 8am - 4:30pm",2 Woodward Ave,Detroit,MI,48226,"2 Woodward Ave, Detroit, MI, 48226",42.32959557,-83.04436213
CAYMC-Coleman A Young Municipal Center (#1),K2008,2008,"M-Th, 8am - 4:30pm",2 Woodward Ave,Detroit,MI,48226,"2 Woodward Ave, Detroit, MI, 48226",42.32959557,-83.04436213
CAYMC-Coleman A Young Municipal Center (#2),K2009,2009,"M-Th, 8am - 4:30pm",2 Woodward Ave,Detroit,MI,48226,"2 Woodward Ave, Detroit, MI, 48226",42.32959557,-83.04436213
CAYMC -Coleman A Young Municipal Center (#3),K2015,2015,"M-Th, 8am - 4:30pm",2 Woodward Ave,Detroit,MI,48226,"2 Woodward Ave, Detroit, MI, 48226",42.32959557,-83.04436213
CAYMC -Coleman A Young Municipal Center (#6),K2028,2028,"M-Th, 8am - 4:30pm",2 Woodward Ave,Detroit,MI,48226,"2 Woodward Ave, Detroit, MI, 48226",42.32959557,-83.04436213
CAYMC- Outdoor Unit - old K2052,K2031,2031,24 Hours,2 Woodward Ave,Detroit,MI,48226,"2 Woodward Ave, Detroit, MI, 48226",42.32959557,-83.04436213
Slabb Recycler/CAYMC -Coleman A Young Municipal Center,K2083,2083,"M-Th, 8am - 4:30pm",2 Woodward Ave,Detroit,MI,48226,"2 Woodward Ave, Detroit, MI, 48226",42.32959557,-83.04436213
CAYMC-BSEED 4th Floor,K2013,2013,"M-Th, 8am - 4:30pm",2 Woodward Avenue,Detroit,MI,48226,"2 Woodward Ave, Detroit, MI, 48226",42.32959557,-83.04436213
Saturn Super Foods,K2025,2025,8am - 9pm 7 days,20221 Joy Rd,Detroit,MI,48228,"20221 Joy Rd, Detroit, MI, 48228",42.35729723,-83.2389742
Apollo Market,RA512,1023,"M-S 8a - 9p, Su 8a - 7p",20250 W Seven Mile Rd,Detroit,MI,48219,"20250 W Seven Mile Rd, Detroit, MI, 48219",42.43089739,-83.24183053
LBWL - Quality Dairy - Slabb 2200 single note,K2089,2089,"M-F 5:30A-10P, SA-SU 5:30A-12A",2121 W. Holmes Rd.,Lansing,MI,48910,"2121 W. Holmes Rd., Lansing, MI, 48910",42.69733005,-84.58166069
Meijer Grand River,K2054,2054,6am - 11pm 7 days,21431 Grand River,Detroit,MI,48219,"21431 Grand River, Detroit, MI, 48219",42.41231726,-83.2527753
Old Redford Food Center,RA515,1026,"M-S 8a - 9p, Su 9a-7p","21673 Grand River Ave,",Detroit,MI,48219,"21673 Grand River Ave,, Detroit, MI, 48219",42.41589912,-83.25665626
Sunoco Brownstown,K2003,2003,"24 hours, 7 Days",21980 Sibley Rd,Brownstown,MI,48193,"21980 Sibley Rd, Brownstown, MI, 48193",42.17103886,-83.2465442
Shoppers Market,RA509,1018,"M-S 8a - 9p, Su 9a-8p",22800 Van Dyke,Warren,MI,48089,"22800 Van Dyke, Warren, MI, 48089",42.46214991,-83.0256478
Eastpointe City Hall - Out Door Unit,K2078,2078,24 Hours,23200 Gratiot Ave,Eastpointe,MI,48021,"23200 Gratiot Ave, Eastpointe, MI, 48021",42.46835098,-82.95493407
Saturn Marketplace,RA520,1031,7 Days 8 am - 10 pm,25200 Van Born Rd,Dearborn Hgts.,MI,48125,"25200 Van Born Rd, Dearborn Hgts., MI, 48125",42.26957112,-83.28176824
Fresh Value Market Place,K2070,2070,(Mon-Sat)8am-9pm(Sun 8am-7pm),25625 Joy Rd,Dearborn Heights,MI,48127,"25625 Joy Rd, Dearborn Heights, MI, 48127",42.35587766,-83.29275913
LBWL - Quality Dairy - Slabb 2200 single note,K2092,2092,7 days x 24 hours,2625 E. Jolly Rd. (5010 Dunckel),Lansing,MI,48910,"2625 E. Jolly Rd. (5010 Dunckel), Lansing, MI, 48910",42.68351192,-84.51406644
